epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,121.291,1.07471,2.23596,1.17948,0.36922,0.18315,0.05186,0.01573,2.16705,9.23874,1.86692,0.00119111,0.00119111,0.00119111
58,123.407,1.07372,2.31446,1.14316,0.56275,0.14196,0.0433,0.01394,2.17505,9.90658,1.89059,0.00118903,0.00118903,0.00118903
59,125.505,1.12955,2.08448,1.22127,0.17633,0.17857,0.05664,0.01389,2.19591,8.81334,1.91147,0.0011869,0.0011869,0.0011869
60,127.614,1.00578,1.97636,1.19436,0.14121,0.14728,0.06398,0.01502,2.289,8.73602,1.9792,0.00118475,0.00118475,0.00118475
61,129.704,1.0336,2.04006,1.15029,0.17552,0.12371,0.0807,0.02141,2.3039,8.52979,1.96846,0.00118256,0.00118256,0.00118256
62,131.798,1.01852,1.96474,1.09442,0.63525,0.11603,0.08054,0.02422,2.3208,8.55583,1.93103,0.00118034,0.00118034,0.00118034
63,133.892,1.13975,2.09181,1.19712,0.70312,0.1022,0.07472,0.02372,2.31895,8.6397,1.9131,0.00117808,0.00117808,0.00117808
64,135.979,1.117,2.04168,1.17034,0.14604,0.11864,0.07024,0.02073,2.32044,8.53392,1.92458,0.00117579,0.00117579,0.00117579
65,138.062,1.02768,1.98291,1.12734,0.13945,0.11406,0.06016,0.01674,2.33359,8.48477,1.96798,0.00117346,0.00117346,0.00117346
66,140.157,0.994,1.81545,1.07773,0.07499,0.16167,0.05666,0.01564,2.32362,8.76008,1.9837,0.00117111,0.00117111,0.00117111
67,142.24,1.08139,1.87427,1.13409,0.07652,0.13726,0.0483,0.0124,2.31126,8.57561,1.98964,0.00116872,0.00116872,0.00116872
68,144.325,1.03141,2.11715,1.17348,0.0789,0.12909,0.05014,0.01331,2.30845,8.04546,2.00158,0.00116629,0.00116629,0.00116629
69,146.401,1.06965,2.00156,1.14577,0.07353,0.14913,0.04196,0.0111,2.30916,8.04636,2.01421,0.00116383,0.00116383,0.00116383
70,148.492,0.9597,1.83004,1.06485,0.08442,0.17058,0.05176,0.01275,2.33412,8.54472,2.00603,0.00116134,0.00116134,0.00116134
71,150.58,0.96839,1.895,1.07482,0.09595,0.192,0.05377,0.01288,2.36983,8.9452,2.02192,0.00115882,0.00115882,0.00115882
72,152.67,1.03373,1.93778,1.1127,0.08636,0.17893,0.05307,0.01356,2.35893,8.77988,2.05676,0.00115627,0.00115627,0.00115627
73,154.759,0.99184,1.91346,1.11556,0.08756,0.15826,0.05437,0.01372,2.31205,8.82926,2.05026,0.00115368,0.00115368,0.00115368
74,156.842,0.87248,1.87618,1.04059,0.10166,0.18712,0.06032,0.01481,2.2498,8.72657,1.97652,0.00115106,0.00115106,0.00115106
75,158.922,0.86909,1.74302,1.01295,0.14075,0.16657,0.06222,0.01662,2.21544,8.38956,1.95647,0.00114841,0.00114841,0.00114841
76,161.009,0.98076,1.82243,1.09608,0.15603,0.17136,0.07746,0.02085,2.23166,8.08269,2.02828,0.00114572,0.00114572,0.00114572
77,163.086,1.01035,2.03471,1.12663,0.16689,0.16863,0.0779,0.02197,2.23604,8.28463,2.07002,0.00114301,0.00114301,0.00114301
78,165.181,1.04457,1.88034,1.12944,0.11477,0.16986,0.07002,0.01996,2.18944,9.01687,1.95641,0.00114026,0.00114026,0.00114026
79,167.285,0.99999,1.93611,1.12162,0.36242,0.17094,0.07898,0.02147,2.17514,8.68232,1.9284,0.00113748,0.00113748,0.00113748
80,169.368,0.92217,1.76976,1.03185,0.14196,0.19737,0.0808,0.02255,2.22728,8.39144,1.98244,0.00113467,0.00113467,0.00113467
81,171.471,1.0197,2.00167,1.12871,0.14875,0.19923,0.0762,0.01936,2.27297,8.84504,2.07402,0.00113183,0.00113183,0.00113183
82,173.557,0.95421,1.70628,1.08224,0.15052,0.13337,0.07299,0.01676,2.27005,9.16195,2.10094,0.00112896,0.00112896,0.00112896
83,175.64,0.88894,1.63806,1.00922,0.11037,0.13612,0.06121,0.01421,2.2546,9.87557,2.09442,0.00112605,0.00112605,0.00112605
84,177.73,1.04951,1.84968,1.13112,0.1251,0.13499,0.06671,0.01535,2.27022,9.15521,2.08572,0.00112312,0.00112312,0.00112312
85,179.806,0.98788,1.93405,1.09968,0.16302,0.19716,0.07028,0.01655,2.25372,9.00395,2.07651,0.00112016,0.00112016,0.00112016
86,181.875,0.94831,1.82941,1.06481,0.18407,0.19098,0.0855,0.01931,2.26085,8.91377,2.06638,0.00111716,0.00111716,0.00111716
